#--------------------------------------------------------------------------------,
        13,       60.,0, ,      26.5,0, ,
        14,       65.,0, ,      26.1,0, ,
        15,       70.,0, ,      25.8,0, ,
        16,       75.,0, ,      25.6,0, ,
        17,       80.,0, ,      25.3,0, ,
        18,       85.,0, ,      25.1,0, ,
        19,       90.,0, ,      24.9,0, ,
        20,       95.,0, ,      24.8,0, ,
        21,      100.,0, ,      24.7,0, ,
        22,      125.,0, ,      24.0,0, ,
        23,      150.,0, ,   ---*---,0, ,
        24,      175.,0, ,   ---*---,0, ,
        25,      200.,0, ,   ---*---,0, ,
        26,      225.,0, ,   ---*---,0, ,
        27,      250.,0, ,      15.3,0, ,
        28,      275.,0, ,      14.9,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        8775886,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,DE-130530      ,,,
Originators Station ID      ,,             87,,,integer,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,         16.367,decimal degrees,,
Longitude                   ,,         57.533,decimal degrees,,
Year                        ,,           1980,,,
Month                       ,,              5,,,
Day                         ,,             29,,,
Time                        ,,         18.000,decimal hours (UT),,
METADATA,
Country                     ,,             DE,NODC code,GERMANY
Accession Number            ,,           336.,NODC code,,
Platform                    ,,          7980.,OCL code,NAVY SHIP,
Institute                   ,,          1069.,NODC code,MARINEAMT; ABTEILUNG GEOPHYSIK WILHELMSHAVEN (MAWHV) (WILHELMSHAVEN),
Bottom depth                ,,         4000.0,meters,,
probe_type                  ,,             1.,OCL_code,MBT,
systematic_fix              ,,             0.,WOD code,no fix necessary,
Instrument       ,Temperature,             1.,WOD code,MBT: TYPE UNKNOWN,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,,
         1,        0.,0, ,      29.8,0, ,
         2,        5.,0, ,      29.8,0, ,
         3,       10.,0, ,      29.8,0, ,
         4,       15.,0, ,      29.8,0, ,
         5,       20.,0, ,      29.8,0, ,
         6,       25.,0, ,      29.1,0, ,
         7,       30.,0, ,      27.6,0, ,
         8,       35.,0, ,      25.9,0, ,
         9,       40.,0, ,      25.0,0, ,
        10,       45.,0, ,      25.0,0, ,
        11,       50.,0, ,      25.0,0, ,
        12,       55.,0, ,      24.6,0, ,
        13,       60.,0, ,      24.2,0, ,
        14,       65.,0, ,      23.7,0, ,
        15,       70.,0, ,      23.3,0, ,
        16,       75.,0, ,      22.9,0, ,
        17,       80.,0, ,   ---*---,0, ,
        18,       85.,0, ,   ---*---,0, ,
        19,       90.,0, ,   ---*---,0, ,
        20,       95.,0, ,   ---*---,0, ,
        21,      100.,0, ,      21.1,0, ,
        22,      125.,0, ,      19.6,0, ,
        23,      150.,0, ,      18.3,0, ,
        24,      175.,0, ,   ---*---,0, ,
        25,      200.,0, ,   ---*---,0, ,
        26,      225.,0, ,   ---*---,0, ,
        27,      250.,0, ,      15.3,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        8775888,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,DE-130530      ,,,
Originators Station ID      ,,             88,,,integer,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,         17.150,decimal degrees,,
Longitude                   ,,         58.750,decimal degrees,,
Year                        ,,           1980,,,
Month                       ,,              5,,,
Day                         ,,             30,,,
Time                        ,,        0.50000,decimal hours (UT),,
METADATA,
Country                     ,,             DE,NODC code,GERMANY
Accession Number            ,,           336.,NODC code,,
Platform                    ,,          7980.,OCL code,NAVY SHIP,
Institute                   ,,          1069.,NODC code,MARINEAMT; ABTEILUNG GEOPHYSIK WILHELMSHAVEN (MAWHV) (WILHELMSHAVEN),
Bottom depth                ,,         2000.0,meters,,
probe_type                  ,,             1.,OCL_code,MBT,
